0.1149,0.0330
0.2085,0.2550
0.4634,0.0147
0.4026,0.0734
0.8260,0.0624
0.1423,0.0236
0.4592,0.2189
0.5674,0.1296
0.3354,0.0203
1.0275,0.0600
0.7279,0.0164
1.1264,0.3005
0.4012,0.0059
0.8608,0.0256
0.7879,0.0963
0.3793,0.0435
1.2900,0.0146
0.3557,0.1557
0.2281,0.1135
0.5211,0.0216
0.1041,0.0239
1.2464,0.0271
0.9561,0.0909
1.2356,0.0298
0.1251,0.0853
0.1853,0.0848
0.5434,0.1638
0.6854,0.1218
0.8483,0.0706
0.4345,0.1138
0.9395,0.0273
0.6726,0.1053
2.7636,0.2724
0.8980,0.0832
0.2796,0.0809
0.1585,0.0483
0.8278,0.1033
1.3229,0.2027
1.0450,0.1121
0.7440,0.0191
1.1703,0.0392
0.5061,0.0212
0.3362,0.0190
0.7793,0.1297
0.4230,0.1889
0.2791,0.1218
1.1182,0.1005
0.2771,0.0301
1.7203,0.5328
0.1152,0.0415
1.8562,0.5044
0.9312,0.1938
0.8175,0.1478
0.7547,0.0401
1.1023,0.0060
0.1251,0.1151
0.5474,0.0893
0.5911,0.0891
0.3733,0.0730
1.2041,0.1381
0.4834,0.0629
1.2707,0.2242
0.1254,0.0701
0.5882,0.2801
0.3002,0.0859
0.4431,0.0023
1.5834,0.3073
0.8161,0.0978
0.1377,0.0565
0.8991,0.0765
0.9876,0.2461
2.2031,0.0396
0.8337,0.0154
0.1714,0.0215
0.5703,0.0098
0.2722,0.0035
