0.0434,0.2035,0.1160
0.2871,0.2280,0.3060
0.3285,0.2280,0.3817
0.3651,0.3103,0.2496
0.0635,0.1247,0.1310
0.1322,0.1749,0.0530
0.3234,0.2031,0.1319
0.1453,0.1759,0.2511
0.2608,0.1432,0.2605
0.1170,0.1233,0.2310
0.1365,0.2075,0.3283
0.1738,0.4002,0.5819
0.2759,0.0588,0.3264
0.1964,0.2328,0.1813
0.2002,0.1344,0.3138
0.0671,0.5466,0.0954
0.4211,0.0617,0.3009
0.1036,0.0746,0.1587
0.1274,0.1920,0.0988
0.2518,0.3196,0.2383
0.4083,0.3937,0.1565
0.2893,0.2378,0.1798
0.3864,0.1605,0.1253
0.0141,0.2656,0.3637
0.0529,0.1419,0.1590
0.2311,0.0451,0.1025
0.3395,0.0684,0.1857
0.2998,0.2076,0.1019
0.0814,0.3158,0.2240
0.2082,0.0951,0.4208

