0.2268,0.2707
3.4893,0.5915
0.1094,0.7108
2.1924,0.3470
0.2542,0.2987
0.7833,0.2644
2.2170,0.3724
1.0406,0.1456
1.7865,0.5882
0.1254,0.0748
1.7718,0.4786
1.2697,0.0292
0.7925,0.1319
2.9623,0.2078
0.5960,0.1380
1.3285,0.1375
1.2463,0.5209
1.2465,1.2772
0.2720,0.1160
0.5071,0.6288
1.5581,0.0502
3.1863,0.6319
0.4823,0.2139
0.9804,0.0143
1.1130,0.7513
1.1804,0.1130
4.0271,0.2970
1.5140,0.5020
5.3441,0.5499
0.0974,0.2968
0.5286,0.0428
1.6255,0.1537
0.6726,0.2186
0.1327,0.1143
0.2737,0.3284
1.6717,0.0579
1.2043,0.1362
1.0976,0.3441
0.2928,0.3245
0.3612,0.7799
2.1888,0.5923
1.3481,0.3176
2.1871,0.7290
1.3615,0.3660
1.5069,0.7570
3.4485,0.5283
1.9142,0.3616
1.7819,0.7530
0.8889,0.5834
1.9273,0.4238
