1.3851,0.1737,0.1196
2.2168,0.4422,0.2383
0.6073,0.2650,0.1230
1.7951,0.0658,0.1470
0.9620,0.3298,0.0983
1.0581,0.1414,0.3272
1.5942,0.2834,0.1689
1.1680,0.1333,0.2987
1.0066,0.3789,0.2242
4.7231,0.7667,0.1424
3.7945,0.4812,0.1679
0.4862,0.2251,0.1657
1.0380,0.2834,0.1284
1.5890,0.2135,0.2328
0.8841,0.4459,0.1334
2.5132,0.1625,0.2985
3.2882,0.9090,0.2095
5.3073,0.7811,0.4450
3.6077,0.6050,0.2529
1.5757,0.2829,0.3816
1.8244,0.3071,0.1705
2.9156,0.2958,0.1179
0.5076,0.4876,0.4115
2.6184,0.1550,0.1234
1.4058,0.2648,0.1763
2.4479,0.0936,0.2774
0.4634,0.3606,0.1089
0.9790,0.2470,0.1743
2.8091,0.5878,0.3666





3.9135,0.5702,0.6675
