0.0016,0.0008,0.0040,0.0006,0.0005,0.0006,0.0003
0.0005,0.0004,0.0007,0.0004,0.0008,0.0007,0.0004
0.0006,0.0010,0.0003,0.0015,0.0006,0.0013,0.0008
0.0009,0.0010,0.0003,0.0000,0.0003,0.0007,0.0004
6.5835,13.4751,11.0253,3.8460,7.4330,4.8748,5.5834
0.0021,0.0003,0.0035,0.0003,0.0002,0.0003,0.0006
25.3244,2.4600,9.7762,0.0003,0.8586,18.8462,1.5604
0.0002,0.0009,0.0009,0.0006,0.0002,0.0007,0.0004
0.0017,0.0009,0.0045,0.0012,0.0003,0.0016,0.0005
6.7074,19.8654,0.9998,2.8115,2.3272,5.3741,8.0837
0.0007,0.0000,0.0003,0.0008,0.0013,0.0005,0.0005
0.0007,0.0011,0.0004,0.0007,0.0020,0.0021,0.0005
0.0005,0.0007,0.0003,0.0005,0.0015,0.0006,0.0007
33.4826,56.7574,45.1690,36.7411,66.5765,26.4866,37.2936
17.2804,37.6887,6.2736,10.4272,17.8088,2.8347,10.0000
0.0022,0.0010,0.0038,0.0002,0.0010,0.0008,0.0002
0.0020,0.0003,0.0036,0.0003,0.0012,0.0007,0.0008
9.6863,22.6332,20.5959,2.7257,25.3162,11.2605,10.0000
0.0028,0.0003,0.0031,0.0009,0.0003,0.0006,0.0001
0.0008,0.0003,0.0006,0.0005,0.0008,0.0008,0.0004
50.3901,14.0262,22.4124,31.8204,71.7934,37.7811,10.0000
0.0027,0.0004,0.0035,0.0003,0.2912,0.0006,0.2890
12.7032,46.3098,24.2556,23.4759,33.7162,14.9682,10.0000
24.0638,20.1234,29.0886,28.2293,50.3014,24.0050,10.0000
0.0003,0.0010,0.0008,0.0001,0.0010,0.0006,0.0004
0.0029,0.0013,0.0039,0.0009,0.0007,0.0003,0.0005
29.0649,17.3905,24.6401,7.1736,53.6778,11.1794,10.0000
0.0010,0.3020,0.5075,0.0005,1.9399,0.0004,1.0906
0.0003,0.0007,0.0007,0.0010,0.0008,0.0009,0.0005
0.0003,0.0004,0.0004,0.0007,0.0016,0.0006,0.0003
